,FighterID,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
77,587713,https://ufc.ru/athlete/geoff-neal,29.0,182.88,84.12,7.0,187.96,104.14,46.0,4.56,4.24,1.66,57.0,69.0,19.0,7.0,1.0,2.0
78,145703,https://ufc.ru/athlete/shon-bredi,32.0,185.42,89.34,9.0,193.04,105.41,41.0,5.86,4.28,1.0,63.0,84.0,27.0,5.0,0.0,11.0
79,883036,https://ufc.ru/athlete/visente-lyuke,32.0,185.42,84.12,6.0,182.88,100.33,60.0,6.5,6.38,0.53,47.0,79.0,14.0,2.0,0.0,11.0
80,964735,https://ufc.ru/athlete/nassurdin-imavov-4,39.0,185.42,84.12,11.0,195.58,109.22,47.0,3.51,3.05,3.14,51.0,86.0,23.0,9.0,0.0,12.0
81,580768,https://ufc.ru/athlete/neil-magny,34.0,187.96,84.35,3.0,193.04,104.14,44.0,3.02,3.01,1.72,55.0,33.0,12.0,2.0,0.0,7.0
82,497736,https://ufc.ru/athlete/kevin-khollend,35.0,185.42,84.35,7.0,196.85,118.11,44.0,5.13,3.69,1.66,55.0,75.0,23.0,8.0,0.0,11.0
83,350796,https://ufc.ru/athlete/sara-elpar-0,27.0,187.96,91.51,4.0,190.5,106.68,53.0,3.96,3.89,1.22,47.0,56.0,22.0,5.0,0.0,5.0
84,531109,https://ufc.ru/athlete/michael-chiesa,31.0,175.26,83.9,10.0,181.61,100.33,42.0,3.63,3.31,1.0,59.0,63.0,18.0,8.0,0.0,7.0
85,184471,https://ufc.ru/athlete/drikus-du-plessis,28.0,190.5,84.12,3.0,190.5,106.68,53.0,4.55,3.76,1.09,59.0,73.0,12.0,4.0,0.0,5.0
86,302691,https://ufc.ru/athlete/robert-whittaker,35.0,191.77,92.06,7.0,193.04,109.22,46.0,2.57,2.85,1.91,47.0,43.0,17.0,6.0,1.0,4.0
87,414923,https://ufc.ru/athlete/dzhared-kannone,30.0,190.5,92.97,3.0,203.2,114.3,56.0,5.77,5.4,0.38,40.0,68.0,29.0,3.0,1.0,25.0
88,553219,https://ufc.ru/athlete/marvin-vettori,31.0,190.5,92.97,5.0,190.5,116.84,52.0,3.55,2.15,0.99,59.0,86.0,18.0,1.0,1.0,10.0
89,104984,https://ufc.ru/athlete/shon-strikland,36.0,193.04,93.19,2.0,200.66,111.76,62.0,5.11,3.7,0.22,51.0,70.0,8.0,2.0,0.0,6.0
90,457507,https://ufc.ru/athlete/paulo-kosta,40.0,187.96,92.97,9.0,198.12,111.76,50.0,3.41,2.91,1.09,53.0,69.0,29.0,10.0,1.0,9.0
91,818447,https://ufc.ru/athlete/derek-branson,31.0,193.04,92.97,6.0,198.12,116.84,50.0,4.01,2.3,0.82,53.0,90.0,14.0,3.0,0.0,9.0
92,407448,https://ufc.ru/athlete/roman-dolidze,31.0,198.12,99.68,5.0,208.28,113.03,56.0,3.85,2.58,0.51,46.0,60.0,21.0,7.0,0.0,16.0
93,776294,https://ufc.ru/athlete/dzhek-khermansson,31.0,190.5,96.59,10.0,196.85,113.03,56.0,4.38,2.47,2.29,45.0,53.0,30.0,9.0,0.0,12.0
94,871723,https://ufc.ru/athlete/brendan-allen,35.0,193.04,95.69,11.0,193.04,111.76,48.0,3.16,4.45,0.52,46.0,49.0,37.0,18.0,0.0,19.0
95,119492,https://ufc.ru/athlete/kelvin-gastelum,33.0,187.96,102.04,6.0,190.5,102.87,47.0,4.53,3.97,0.47,56.0,80.0,18.0,7.0,0.0,12.0
96,202513,https://ufc.ru/athlete/nassurdin-imavov,32.0,195.58,100.68,6.0,200.66,115.57,41.0,3.42,3.91,1.29,45.0,48.0,21.0,9.0,0.0,6.0
97,231716,https://ufc.ru/athlete/pol-kreyg,33.0,185.42,92.97,7.0,194.31,111.76,39.0,3.73,4.16,0.0,51.0,56.0,13.0,5.0,0.0,9.0
98,378050,https://ufc.ru/athlete/chris-curtis,33.0,193.04,93.15,6.0,195.58,110.49,50.0,4.75,3.77,0.36,48.0,81.0,12.0,4.0,0.0,7.0
99,108592,https://ufc.ru/athlete/andre-muniz,35.0,182.88,93.19,4.0,193.04,104.14,58.0,3.82,3.09,0.62,52.0,76.0,14.0,3.0,1.0,10.0
100,202021,https://ufc.ru/athlete/dzhiri-prokhazka,35.0,190.5,97.5,12.0,193.04,114.3,47.0,5.46,4.02,0.4,59.0,60.0,19.0,7.0,1.0,12.0
101,181766,https://ufc.ru/athlete/magomed-ankalaev,31.0,190.5,118.14,5.0,213.36,114.3,49.0,8.72,4.33,0.0,57.0,75.0,18.0,1.0,0.0,15.0
102,788520,https://ufc.ru/athlete/alex-pereira,33.0,193.04,116.09,4.0,205.74,106.68,60.0,5.08,2.25,0.61,63.0,45.0,11.0,2.0,0.0,5.0
103,151983,https://ufc.ru/athlete/jan-blachowicz,40.0,195.58,106.12,12.0,203.2,99.06,53.0,4.82,3.82,1.86,55.0,68.0,20.0,4.0,0.0,15.0
104,789498,https://ufc.ru/athlete/aleksandar-rakic,30.0,195.58,117.0,3.0,198.12,111.76,66.0,7.65,2.9,3.7,65.0,100.0,13.0,3.0,0.0,10.0
105,628839,https://ufc.ru/athlete/dzhonni-uolker,32.0,193.04,119.04,7.0,203.2,116.84,50.0,3.56,1.89,5.93,60.0,33.0,17.0,4.0,0.0,12.0
106,922579,https://ufc.ru/athlete/nikita-krylov,30.0,187.96,120.63,6.0,190.5,100.33,50.0,4.1,4.46,0.0,45.0,52.0,15.0,5.0,0.0,14.0
107,719344,https://ufc.ru/athlete/entoni-smit,28.0,190.5,117.23,4.0,198.12,111.76,51.0,3.79,2.84,5.05,56.0,70.0,16.0,3.0,0.0,7.0
108,131226,https://ufc.ru/athlete/volkan-oezdemir,34.0,200.66,117.0,7.0,203.2,120.65,57.0,4.89,3.0,0.51,54.0,73.0,36.0,10.0,0.0,24.0
109,761848,https://ufc.ru/athlete/ryan-spann,31.0,190.5,104.76,2.0,200.66,110.49,64.0,3.81,0.3,6.4,25.0,50.0,19.0,2.0,0.0,7.0
110,706512,https://ufc.ru/athlete/khalil-rauntri-ml,38.0,190.5,119.5,9.0,200.66,110.49,51.0,2.6,2.59,0.59,41.0,52.0,27.0,11.0,0.0,22.0
111,353517,https://ufc.ru/athlete/andre-muniz-0,37.0,190.5,111.56,7.0,198.12,116.84,48.0,3.55,3.35,1.39,56.0,79.0,24.0,8.0,0.0,9.0
112,849570,https://ufc.ru/athlete/dominik-reyes,35.0,187.96,120.18,4.0,198.12,104.14,46.0,2.81,3.15,0.0,45.0,74.0,13.0,5.0,0.0,12.0
113,646176,https://ufc.ru/athlete/alonzo-menifield,38.0,185.42,118.82,9.0,190.5,109.22,57.0,3.61,2.96,1.34,52.0,59.0,21.0,10.0,1.0,14.0
114,965861,https://ufc.ru/athlete/dastin-dzheykobi,30.0,187.96,119.95,4.0,203.2,109.22,49.0,4.2,4.6,1.58,40.0,75.0,10.0,1.0,0.0,2.0
115,876422,https://ufc.ru/athlete/sergey-pavlovich,35.0,154.94,52.06,9.0,160.02,88.9,40.0,2.16,2.69,3.22,55.0,47.0,20.0,7.0,0.0,4.0
116,756618,https://ufc.ru/athlete/ciryl-gane,31.0,165.1,61.22,9.0,165.1,100.33,41.0,3.66,3.5,1.61,61.0,60.0,12.0,5.0,0.0,2.0
117,751521,https://ufc.ru/athlete/stipe-miochich,34.0,165.1,52.15,6.0,160.02,93.98,45.0,5.55,3.56,0.86,62.0,71.0,17.0,3.0,0.0,8.0
118,149457,https://ufc.ru/athlete/tom-aspinall,32.0,165.1,58.5,7.0,167.64,99.06,64.0,4.27,1.38,6.2,51.0,100.0,11.0,0.0,0.0,2.0
119,579920,https://ufc.ru/athlete/kyortis-bleyds,36.0,162.56,51.7,6.0,165.1,91.44,55.0,3.54,4.66,0.82,43.0,56.0,13.0,3.0,1.0,8.0
120,118416,https://ufc.ru/athlete/tay-tuivasa,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
121,686831,https://ufc.ru/athlete/sergey-spivak-0,35.0,160.02,52.15,4.0,162.56,93.98,41.0,2.34,3.03,2.42,57.0,74.0,19.0,3.0,0.0,1.0
122,207997,https://ufc.ru/athlete/aleksandr-volkov,30.0,162.56,52.15,5.0,160.02,95.25,40.0,3.36,4.09,0.81,51.0,40.0,13.0,3.0,0.0,0.0
123,924546,https://ufc.ru/athlete/kori-makkenna-10,36.0,167.64,52.15,5.0,165.1,97.79,48.0,4.58,2.94,0.17,56.0,64.0,16.0,3.0,2.0,6.0
124,639373,https://ufc.ru/athlete/derrik-lyuis,33.0,154.94,52.38,9.0,153.67,88.9,49.0,4.74,3.59,0.66,61.0,62.0,13.0,6.0,0.0,1.0
125,873620,https://ufc.ru/athlete/marchin-tybura,30.0,158.75,52.38,2.0,158.75,96.52,40.0,3.86,3.67,2.83,64.0,50.0,11.0,1.0,0.0,2.0
126,499673,https://ufc.ru/athlete/jairzinho-rozenstruik,37.0,160.02,52.6,8.0,157.47,90.17,47.0,3.63,4.01,1.4,51.0,72.0,18.0,11.0,0.0,3.0
127,697209,https://ufc.ru/athlete/aleksandr-romanov,28.0,154.94,54.87,2.0,154.94,91.44,37.0,4.12,4.45,4.23,61.0,67.0,9.0,1.0,0.0,1.0
128,804271,https://ufc.ru/athlete/markos-rozherio-de-lima,38.0,160.02,51.92,9.0,163.83,97.79,50.0,5.46,4.97,0.54,62.0,76.0,15.0,13.0,0.0,5.0
129,972974,https://ufc.ru/athlete/rodrigo-nasimento-ferreyra,34.0,165.1,56.46,8.0,170.18,96.52,53.0,3.29,1.99,2.57,64.0,72.0,23.0,4.0,0.0,8.0
130,811033,https://ufc.ru/athlete/carla-esparza,24.0,162.56,62.13,2.0,167.64,91.44,53.0,5.58,3.32,2.86,62.0,83.0,12.0,1.0,0.0,2.0
131,300223,https://ufc.ru/athlete/rouz-namayunas,33.0,170.18,63.03,2.0,165.1,96.52,53.0,5.3,3.48,0.33,51.0,65.0,10.0,1.0,0.0,6.0
132,235606,https://ufc.ru/athlete/yan-syaonyan,30.0,167.64,60.4,4.0,172.72,95.25,48.0,3.39,2.64,2.0,58.0,86.0,19.0,3.0,0.0,10.0
133,592979,https://ufc.ru/athlete/tatyana-suarez,34.0,175.26,57.82,7.0,172.72,106.68,35.0,4.59,4.41,0.27,63.0,54.0,18.0,5.0,0.0,2.0
134,899628,https://ufc.ru/athlete/amanda-lemos,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
135,281361,https://ufc.ru/athlete/jessica-andrade,39.0,165.1,56.91,9.0,170.18,96.52,39.0,4.05,5.25,1.03,55.0,70.0,16.0,6.0,0.0,8.0
136,389613,https://ufc.ru/athlete/virna-yandiroba,25.0,165.1,60.86,5.0,165.1,96.52,53.0,4.6,2.72,1.14,55.0,45.0,13.0,2.0,0.0,6.0
137,757541,https://ufc.ru/athlete/makkenzi-dyorn,34.0,162.56,56.68,5.0,162.56,96.52,39.0,4.5,4.78,0.27,56.0,57.0,21.0,9.0,1.0,4.0
138,677638,https://ufc.ru/athlete/marina-rodriguez,36.0,162.56,57.14,4.0,172.72,92.71,47.0,4.63,5.45,1.81,56.0,83.0,11.0,5.0,0.0,3.0
139,589815,https://ufc.ru/athlete/tecia-torres,25.0,167.64,56.68,2.0,175.26,93.98,56.0,8.77,5.9,1.96,58.0,71.0,9.0,1.0,0.0,3.0
140,265520,https://ufc.ru/athlete/amanda-ribas,26.0,162.56,56.46,1.0,165.1,91.44,49.0,5.2,2.23,0.68,66.0,93.0,16.0,5.0,1.0,5.0
141,792440,https://ufc.ru/athlete/pet-sabatini-1,29.0,165.1,56.68,4.0,166.37,97.79,55.0,3.56,2.32,2.8,59.0,71.0,10.0,1.0,0.0,1.0
142,885528,https://ufc.ru/athlete/mishel-uoterson,33.0,167.64,60.99,10.0,175.26,99.06,48.0,3.16,2.3,1.94,51.0,23.0,12.0,5.0,0.0,3.0
143,532281,https://ufc.ru/athlete/tabatha-ricci,34.0,170.18,60.99,10.0,171.45,93.98,51.0,4.02,3.34,0.93,62.0,63.0,15.0,9.0,0.0,1.0
144,222799,https://ufc.ru/athlete/andzhela-khill,31.0,167.64,63.03,5.0,168.91,99.06,55.0,4.16,4.71,0.35,57.0,69.0,11.0,2.0,1.0,1.0
145,860089,https://ufc.ru/athlete/valentina-shevchenko,31.0,172.72,68.93,7.0,172.72,100.33,41.0,3.04,3.92,1.51,52.0,93.0,14.0,3.0,0.0,2.0
146,957551,https://ufc.ru/athlete/erin-blanchfield,35.0,175.26,61.22,7.0,173.99,97.79,39.0,4.86,5.71,0.17,59.0,76.0,14.0,7.0,0.0,8.0
147,873816,https://ufc.ru/athlete/manon-firot,41.0,172.72,61.45,8.0,175.26,96.52,41.0,3.21,2.79,0.9,56.0,79.0,15.0,7.0,0.0,8.0
148,620262,https://ufc.ru/athlete/tayla-santos,31.0,170.18,61.67,5.0,172.72,99.06,49.0,4.87,3.75,0.35,54.0,71.0,17.0,7.0,0.0,3.0
149,780257,https://ufc.ru/athlete/katlyn-chookagian,33.0,167.64,68.48,5.0,173.99,101.6,57.0,4.16,3.03,1.11,50.0,43.0,14.0,8.0,0.0,7.0
150,185806,https://ufc.ru/athlete/jessica-andrade,31.0,180.34,63.26,5.0,182.88,106.68,45.0,3.64,2.61,2.17,47.0,64.0,9.0,3.0,0.0,3.0
151,361270,https://ufc.ru/athlete/loren-myorfi,28.0,165.1,71.2,4.0,171.45,91.44,55.0,5.43,4.17,1.38,49.0,68.0,17.0,5.0,0.0,4.0
152,272516,https://ufc.ru/athlete/meysi-barber,32.0,170.18,70.29,3.0,170.18,97.79,50.0,3.41,1.99,1.39,67.0,72.0,10.0,2.0,0.0,0.0
153,434315,https://ufc.ru/athlete/jennifer-maia,36.0,167.64,57.05,11.0,165.1,95.25,44.0,2.61,3.1,1.88,52.0,55.0,19.0,9.0,0.0,4.0
154,673785,https://ufc.ru/athlete/viviane-araujo,29.0,157.47,65.98,2.0,170.18,93.98,45.0,7.22,5.85,0.0,53.0,70.0,10.0,1.0,0.0,7.0
155,856283,https://ufc.ru/athlete/amanda-ribas,32.0,173.99,69.84,1.0,172.72,101.6,46.0,3.12,3.06,0.78,43.0,33.0,5.0,2.0,0.0,2.0
